Dausa,4.97
Dholpur,3.07
Dungarpur,4.03
Ganganagar,5
Hanumangarh,26.21
Jaipur,16.13
Jaisalmer,2.08
Jalore,17.68
Jhalawar,7.23
Jhunjhunu,17.83
Jodhpur,6.62
Karauli,6.39
Kota,6.43
Nagaur,15.89
Pali,28.98
Pratapgarh,3.25
Rajsamand,29.21
Sawai Madhopur,7.51
Sikar,11.94
Sirohi,22.59
Tonk,4.1
Udaipur,7.36
East District,71.98
North District,99.66
South District,84.2
West District,92.33
Ariyalur,27.67
Chengalpattu,12.21
Chennai,17.15
Coimbatore,47.58
Cuddalore,12.7
Dharmapuri,0.7
Dindigul,24.4
Erode,15.44
Kallakurichi,0.67
Kanchipuram,27.04
Kanniyakumari,36.49
Karur,19.31
Krishnagiri,1.24
Madurai,11.1
Mayiladuthurai,0
Nagapattinam,14.81
Namakkal,15.39
Perambalur,15.15
Pudukkottai,12.92
Ramanathapuram,10.03
Ranipet,41.94
Salem,8.23
Sivaganga,14.82
Tenkasi,19.28
Thanjavur,30.81
The Nilgiris,3.55
Theni,26.48
Thiruvallur,11.77
Thiruvarur,20.47
Tiruchirappalli,33.45
Tirunelveli,37.71
Tirupathur,54.68
Tiruppur,45
Tiruvannamalai,47.66
Tuticorin,41.22
Vellore,70
Villupuram,31.22
Virudhunagar,21.05
Adilabad,3.29
Bhadradri Kothagudem,17.11
Hanumakonda,27.26
Jagitial,36.67
Jangoan,43.38
Jayashankar Bhupalapally,41.92
Jogulamba Gadwal,8.28
Kamareddy,13.01
Karimnagar,45.09
Khammam,39.74
Kumuram Bheem Asifabad,3.35
Mahabubabad,27.82
Mahabubnagar,29.06
Mancherial,9.1
Medak,46.54
Medchal Malkajgiri,55.57
Mulugu,100
Nagarkurnool,84.56
Nalgonda,82.8
Narayanpet,87.84
Nirmal,97.54
Nizamabad,97.69
Peddapalli,45.45
Rajanna Sircilla,65.97
Ranga Reddy,36.67
Sangareddy,30.02
Siddipet,42.18
Suryapet,30.76
Vikarabad,28.75
Wanaparthy,24.17
Warangal,27.26
Yadadri Bhuvanagiri,62.15
Dadra And Nagar Haveli,100
Daman,100
Diu,100
Dhalai,3.25
Gomati,3.24
Khowai,1.76
North Tripura,2.46
Sepahijala,2.09
South Tripura,2.48
Unakoti,2.4
West Tripura,7.03
Agra,1.63
Aligarh,0.66
Ambedkar Nagar,1.22
Amethi,0.98
Amroha,2.23
Auraiya,0.97
Ayodhya,0.24
Azamgarh,0.76
Baghpat,7.03
Bahraich,1.93
Ballia,5.58
Balrampur,0.62
Banda,1.26
Barabanki,1.13
Bareilly,2.28
Basti,0.92
Bhadohi,0.23
Bijnor,3.72
Budaun,4.82
Bulandshahr,4.68
Chandauli,0.18
Chitrakoot,0.4
Deoria,1.45
Etah,1.31
Etawah,4.05
Farrukhabad,0.55
Fatehpur,0.59
Firozabad,0.12
Gautam Buddha Nagar,2.55
Ghaziabad,19.94
Ghazipur,1.66
Gonda,0.39
Gorakhpur,7.31
Hamirpur,6.27
Hapur,9.7
Hardoi,0.34
Hathras,0.3
Jalaun,0.73
Jaunpur,0.42
Jhansi,0.48
Kannauj,1.64
Kanpur Dehat,2.06
Kanpur Nagar,3.98
Kasganj,0.09
Kaushambi,2.7
Kheri,1.81
Kushi Nagar,2.61
Lalitpur,14
Lucknow,1.04
Maharajganj,0.34
Mahoba,1.28
Mainpuri,0.74
Mathura,3.98
Mau,0.46
Meerut,6.47
Mirzapur,0.58
Moradabad,1.14
Muzaffarnagar,0.46
Pilibhit,2.97
Pratapgarh,0.11
Prayagraj,0.46
Rae Bareli,1.05
Rampur,7.39
Saharanpur,1.05
Sambhal,1.06
Sant Kabeer Nagar,0.5
Shahjahanpur,0
Shamli,3.94
Shravasti,0.29
Siddharth Nagar,1.75
Sitapur,0.24
Sonbhadra,4.32
Sultanpur,0.17
Unnao,1.41
Varanasi,0.66
Almora,8.32
Bageshwar,5.6
Chamoli,29.32
Champawat,15.39
Dehradun,9.92
Haridwar,5.7
Nainital,22.37
Pauri Garhwal,3.33
Pithoragarh,5.9
Rudra Prayag,18.87
Tehri Garhwal,7.19
Udam Singh Nagar,0.04
Uttar Kashi,2.66
24 Paraganas North,2.42
24 Paraganas South,3.2
Alipurduar,0.29
Bankura,0
Birbhum,6.18
Coochbehar,0
Darjeeling,0.07
Dinajpur Dakshin,0
Dinajpur Uttar,0
Hooghly,0.08
Howrah,0.21
Jalpaiguri,0
Jhargram,0
Kalimpong,0.01
Maldah,1.53
Medinipur East,0.07
Medinipur West,0.02
Murshidabad,0.01
Nadia,0.03
Paschim Bardhaman,1.81
Purba Bardhaman,4.64
Purulia,0.07
